name,frequency,percentage,ranking,gender,year
90,Michela,1846.0,0.71,31.0,F,2000.0
65,Claudia,1928.0,0.75,31.0,F,2000.0
14,Giacomo,2489.0,0.91,29.0,M,2000.0
40,Tommaso,2150.0,0.78,32.0,M,2000.0
91,Veronica,1620.0,0.63,33.0,F,2000.0
66,Rebecca,1688.0,0.65,33.0,F,2000.0
18,Alberto,1888.0,0.69,37.0,M,2000.0
16,Edoardo,2127.0,0.78,33.0,M,2000.0
41,Fabio,2095.0,0.76,34.0,M,2000.0
67,Valeria,1564.0,0.61,35.0,F,2000.0
92,Sabrina,1527.0,0.59,35.0,F,2000.0
17,Manuel,2078.0,0.76,35.0,M,2000.0
42,Luigi,1932.0,0.7,36.0,M,2000.0
15,Christian,2210.0,0.81,31.0,M,2000.0
58,Elena,2908.0,1.13,17.0,F,2001.0
8,Giovanni,4036.0,1.48,17.0,M,2001.0
32,Federico,4432.0,1.63,16.0,M,2001.0
56,Alice,3463.0,1.35,13.0,F,2001.0
57,Aurora,2995.0,1.17,15.0,F,2001.0
82,Giada,2989.0,1.16,15.0,F,2001.0
31,Antonio,4751.0,1.75,14.0,M,2001.0
83,Arianna,2609.0,1.02,17.0,F,2001.0
7,Alessio,4531.0,1.66,15.0,M,2001.0
33,Michele,3547.0,1.3,18.0,M,2001.0
61,Silvia,2184.0,0.85,23.0,F,2001.0
9,Daniele,3367.0,1.24,19.0,M,2001.0
84,Ilaria,2496.0,0.97,19.0,F,2001.0
34,Leonardo,3006.0,1.1,20.0,M,2001.0
10,Samuele,2836.0,1.04,21.0,M,2001.0
85,Alessandra,2353.0,0.92,21.0,F,2001.0
60,Laura,2399.0,0.93,21.0,F,2001.0
35,Filippo,2800.0,1.03,22.0,M,2001.0
11,Stefano,2662.0,0.98,23.0,M,2001.0
86,Maria,2146.0,0.84,23.0,F,2001.0
81,Valentina,3078.0,1.2,13.0,F,2001.0
59,Beatrice,2498.0,0.97,19.0,F,2001.0
6,Riccardo,4834.0,1.78,13.0,M,2001.0
78,Giorgia,4686.0,1.82,7.0,F,2001.0
55,Elisa,3525.0,1.37,11.0,F,2001.0
36,Pietro,2606.0,0.96,24.0,M,2001.0
0,Francesco,10283.0,3.78,1.0,M,2001.0
50,Sara,8254.0,3.21,1.0,F,2001.0
75,Chiara,8211.0,3.2,1.0,F,2001.0
25,Andrea,9731.0,3.58,2.0,M,2001.0
76,Giulia,8068.0,3.14,3.0,F,2001.0
51,Alessia,8147.0,3.17,3.0,F,2001.0
1,Matteo,9651.0,3.55,3.0,M,2001.0
26,Alessandro,8697.0,3.2,4.0,M,2001.0
77,Francesca,6957.0,2.71,5.0,F,2001.0
